Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Unit)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	KC (Single-KC-temp)	KC Category (Single-KC-temp)	KC (Single-plus-unique)	KC Category (Single-plus-unique)	KC (Single-plus-unique)	KC Category (Single-plus-unique)	KC (Unique-step-temp)	KC Category (Unique-step-temp)	KC (Rule Names)	KC Category (Rule Names)	KC (Field)	KC Category (Field)	KC (Unique-step-Plus-Single2)	KC Category (Unique-step-Plus-Single2)	KC (Unique-step-Plus-Single2)	KC Category (Unique-step-Plus-Single2)	KC (Rule Names2)	KC Category (Rule Names2)	School	Class
11	All Data	872510999b9585860902f5813d5f0bd7	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:11		1	HINT_REQUEST		HINT_MSG		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	answer_denom	1	0	HINT	hint_button	ButtonPressed	hint request	Enter: JCommTable6_C1R2, UpdateTable, 12				Single-KC		KC150		KC1		KC1		KC150		KC150		answer_denom		answer-denom		1-6_plus_5-12-answer_denom		Single		answer_denom			
12	All Data	76d32482f9f95737713968b3dc074552	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:12		1	ATTEMPT		RESULT		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	answer_denom	2	1	CORRECT	JCommTable6_C1R2	UpdateTable	12					Single-KC		KC150		KC1		KC1		KC150		KC150		answer_denom		answer-denom		1-6_plus_5-12-answer_denom		Single		answer_denom			
13	All Data	9446d373daa36051df74ce6e280d5a1b	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:13		1	HINT_REQUEST		HINT_MSG		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	done	1	0	HINT	hint_button	ButtonPressed	hint request	Enter: done, ButtonPressed, -1				Single-KC		KC171		KC1		KC1		KC171		KC171		done		done		1-6_plus_5-12-done		Single		done			
14	All Data	0f56aaf2f84283dfeefc6db0c2282b6e	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:14		1	ATTEMPT		RESULT		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	done	2	1	CORRECT	done	ButtonPressed	-1					Single-KC		KC171		KC1		KC1		KC171		KC171		done		done		1-6_plus_5-12-done		Single		done			
15	All Data	09fb598fc59255a756913d487fd167d9	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:15		1	ATTEMPT		RESULT		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	lcm_denom2	1	0	INCORRECT	JCommTable5_C1R2	UpdateTable	8					Single-KC		KC82		KC1		KC1		KC82		KC82		lcm_denom2		denom2		2-3_plus_1-8-lcm_denom2		Single		lcm_denom2			
16	All Data	ac1f5a1230f257a54b91d74a5cf13a28	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:16		1	HINT_REQUEST		HINT_MSG		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	lcm_denom2	2	0	HINT	hint_button	ButtonPressed	hint request	Enter: JCommTable5_C1R2, UpdateTable, 24				Single-KC		KC82		KC1		KC1		KC82		KC82		lcm_denom2		denom2		2-3_plus_1-8-lcm_denom2		Single		lcm_denom2			
17	All Data	5f3281bda88fa5b1644b49ecb5f4354d	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:17		1	ATTEMPT		RESULT		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	lcm_denom2	3	1	CORRECT	JCommTable5_C1R2	UpdateTable	24					Single-KC		KC82		KC1		KC1		KC82		KC82		lcm_denom2		denom2		2-3_plus_1-8-lcm_denom2		Single		lcm_denom2			
18	All Data	269c27d0cb2ceac19f342e2532ae20b8	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:18		1	HINT_REQUEST		HINT_MSG		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	lcm_denom1	1	0	HINT	hint_button	ButtonPressed	hint request	Enter: JCommTable4_C1R2, UpdateTable, 24				Single-KC		KC55		KC1		KC1		KC55		KC55		lcm_denom1		denom1		2-3_plus_1-8-lcm_denom1		Single		lcm_denom1			
19	All Data	f433759e114fb5101b68f1bfd6b93826	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:19		1	ATTEMPT		RESULT		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	lcm_denom1	2	1	CORRECT	JCommTable4_C1R2	UpdateTable	24					Single-KC		KC55		KC1		KC1		KC55		KC55		lcm_denom1		denom1		2-3_plus_1-8-lcm_denom1		Single		lcm_denom1			
20	All Data	c284f175b2e0baf88cb793ce4d799e01	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:20		1	ATTEMPT		RESULT		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	convert_num1	1	0	INCORRECT	JCommTable4_C1R1	UpdateTable	8					Single-KC		KC96		KC1		KC1		KC96		KC96		convert_num1		converted-num1		2-3_plus_1-8-convert_num1		Single		convert_num1			
21	All Data	fea1625092e69c8f1ad3e04249a17166	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:21		1	HINT_REQUEST		HINT_MSG		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	convert_num2	1	0	HINT	hint_button	ButtonPressed	hint request	Enter: JCommTable5_C1R1, UpdateTable, 3				Single-KC		KC108		KC1		KC1		KC108		KC108		convert_num2		convert-num2		2-3_plus_1-8-convert_num2		Single		convert_num2			
22	All Data	0fa41cc4d277d0b4c5885b404509259a	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:22		1	ATTEMPT		RESULT		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	convert_num2	2	1	CORRECT	JCommTable5_C1R1	UpdateTable	3					Single-KC		KC108		KC1		KC1		KC108		KC108		convert_num2		convert-num2		2-3_plus_1-8-convert_num2		Single		convert_num2			
23	All Data	417b28f0825e049f75c597967f7fb497	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:23		1	ATTEMPT		RESULT		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	convert_num1	2	0	INCORRECT	JCommTable4_C1R1	UpdateTable	8					Single-KC		KC96		KC1		KC1		KC96		KC96		convert_num1		converted-num1		2-3_plus_1-8-convert_num1		Single		convert_num1			
24	All Data	e6239aaa18caa892460b4ef9d1b23510	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:24		1	HINT_REQUEST		HINT_MSG		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	convert_num1	3	0	HINT	hint_button	ButtonPressed	hint request	Enter: JCommTable4_C1R1, UpdateTable, 16				Single-KC		KC96		KC1		KC1		KC96		KC96		convert_num1		converted-num1		2-3_plus_1-8-convert_num1		Single		convert_num1			
25	All Data	346f44dcacb35b01ed809ac9fdc58591	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:25		1	ATTEMPT		RESULT		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	convert_num1	4	1	CORRECT	JCommTable4_C1R1	UpdateTable	16					Single-KC		KC96		KC1		KC1		KC96		KC96		convert_num1		converted-num1		2-3_plus_1-8-convert_num1		Single		convert_num1			
26	All Data	ac5b53d882df97f9070b93b84ff69833	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:26		1	ATTEMPT		RESULT		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	answer_num	1	1	CORRECT	JCommTable6_C1R1	UpdateTable	19					Single-KC		KC107		KC1		KC1		KC107		KC107		answer_num		answer-num		2-3_plus_1-8-answer_num		Single		answer_num			
27	All Data	218e9a8e05df0814434b3a166f34e028	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:27		1	ATTEMPT		RESULT		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	answer_denom	1	1	CORRECT	JCommTable6_C1R2	UpdateTable	24					Single-KC		KC174		KC1		KC1		KC174		KC174		answer_denom		answer-denom		2-3_plus_1-8-answer_denom		Single		answer_denom			
28	All Data	fd9d9a89237819746d1f241cd55163c1	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:28		1	ATTEMPT		RESULT		SimStudent	2-3_plus_1-8	1	1969-12-31 19:00:14	done	1	1	CORRECT	done	ButtonPressed	-1					Single-KC		KC28		KC1		KC1		KC28		KC28		done		done		2-3_plus_1-8-done		Single		done			
29	All Data	254c22dcc7d6c7e3408cca1fbf8c9ec5	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:29		1	ATTEMPT		RESULT		SimStudent	1-4_plus_2-5	1	1969-12-31 19:00:28	lcm_denom2	1	0	INCORRECT	JCommTable5_C1R2	UpdateTable	5					Single-KC		KC137		KC1		KC1		KC137		KC137		lcm_denom2		denom2		1-4_plus_2-5-lcm_denom2		Single		lcm_denom2			
30	All Data	50f55d93d05b1c4a8c07e5ca19bf948f	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:30		1	ATTEMPT		RESULT		SimStudent	1-4_plus_2-5	1	1969-12-31 19:00:28	lcm_denom2	2	1	CORRECT	JCommTable5_C1R2	UpdateTable	20					Single-KC		KC137		KC1		KC1		KC137		KC137		lcm_denom2		denom2		1-4_plus_2-5-lcm_denom2		Single		lcm_denom2			
31	All Data	dfd5951792221e5fd2cd6d13861478c4	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:31		1	ATTEMPT		RESULT		SimStudent	1-4_plus_2-5	1	1969-12-31 19:00:28	convert_num2	1	1	CORRECT	JCommTable5_C1R1	UpdateTable	8					Single-KC		KC173		KC1		KC1		KC173		KC173		convert_num2		convert-num2		1-4_plus_2-5-convert_num2		Single		convert_num2			
32	All Data	23e438e472168e5e8f6d961aa30f5d72	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:32		1	ATTEMPT		RESULT		SimStudent	1-4_plus_2-5	1	1969-12-31 19:00:28	lcm_denom1	1	1	CORRECT	JCommTable4_C1R2	UpdateTable	20					Single-KC		KC144		KC1		KC1		KC144		KC144		lcm_denom1		denom1		1-4_plus_2-5-lcm_denom1		Single		lcm_denom1			
33	All Data	4da2510fce842a2d5ac71b6c9b618b47	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:33		1	ATTEMPT		RESULT		SimStudent	1-4_plus_2-5	1	1969-12-31 19:00:28	convert_num1	1	1	CORRECT	JCommTable4_C1R1	UpdateTable	5					Single-KC		KC97		KC1		KC1		KC97		KC97		convert_num1		converted-num1		1-4_plus_2-5-convert_num1		Single		convert_num1			
34	All Data	6c0412016d5ba4c7d3f3803001ce1bd7	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:34		1	ATTEMPT		RESULT		SimStudent	1-4_plus_2-5	1	1969-12-31 19:00:28	answer_denom	1	1	CORRECT	JCommTable6_C1R2	UpdateTable	20					Single-KC		KC101		KC1		KC1		KC101		KC101		answer_denom		answer-denom		1-4_plus_2-5-answer_denom		Single		answer_denom			
35	All Data	ddd3292f02cadca889f6c066738071fa	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:35		1	ATTEMPT		RESULT		SimStudent	1-4_plus_2-5	1	1969-12-31 19:00:28	answer_num	1	1	CORRECT	JCommTable6_C1R1	UpdateTable	13					Single-KC		KC57		KC1		KC1		KC57		KC57		answer_num		answer-num		1-4_plus_2-5-answer_num		Single		answer_num			
36	All Data	32e60fa8234b0eb6b0d3a6f4b4ff4efb	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:36		1	ATTEMPT		RESULT		SimStudent	1-4_plus_2-5	1	1969-12-31 19:00:28	done	1	1	CORRECT	done	ButtonPressed	-1					Single-KC		KC166		KC1		KC1		KC166		KC166		done		done		1-4_plus_2-5-done		Single		done			
37	All Data	6186146c2eb12d751bb7867bd8f2f11a	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:37		1	ATTEMPT		RESULT		SimStudent	2-5_plus_1-3	1	1969-12-31 19:00:36	lcm_denom2	1	0	INCORRECT	JCommTable5_C1R2	UpdateTable	3					Single-KC		KC70		KC1		KC1		KC70		KC70		lcm_denom2		denom2		2-5_plus_1-3-lcm_denom2		Single		lcm_denom2			
38	All Data	e6b2520546ed8f7ebe7a48f6739d0de2	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:38		1	ATTEMPT		RESULT		SimStudent	2-5_plus_1-3	1	1969-12-31 19:00:36	lcm_denom2	2	1	CORRECT	JCommTable5_C1R2	UpdateTable	15					Single-KC		KC70		KC1		KC1		KC70		KC70		lcm_denom2		denom2		2-5_plus_1-3-lcm_denom2		Single		lcm_denom2			
39	All Data	f410f74e42c8f435e8a742ab343181ac	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:39		1	ATTEMPT		RESULT		SimStudent	2-5_plus_1-3	1	1969-12-31 19:00:36	convert_num2	1	1	CORRECT	JCommTable5_C1R1	UpdateTable	5					Single-KC		KC109		KC1		KC1		KC109		KC109		convert_num2		convert-num2		2-5_plus_1-3-convert_num2		Single		convert_num2			
40	All Data	c558262c6bc2ac4efc0f53bb0e4418a1	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:40		1	ATTEMPT		RESULT		SimStudent	2-5_plus_1-3	1	1969-12-31 19:00:36	lcm_denom1	1	1	CORRECT	JCommTable4_C1R2	UpdateTable	15					Single-KC		KC135		KC1		KC1		KC135		KC135		lcm_denom1		denom1		2-5_plus_1-3-lcm_denom1		Single		lcm_denom1			
41	All Data	07c4bb9c3b0454e917e2bbdbc2cb7f75	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:41		1	ATTEMPT		RESULT		SimStudent	2-5_plus_1-3	1	1969-12-31 19:00:36	convert_num1	1	1	CORRECT	JCommTable4_C1R1	UpdateTable	6					Single-KC		KC88		KC1		KC1		KC88		KC88		convert_num1		converted-num1		2-5_plus_1-3-convert_num1		Single		convert_num1			
42	All Data	392735d79fb57d1e2c593366fd66eac7	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:42		1	ATTEMPT		RESULT		SimStudent	2-5_plus_1-3	1	1969-12-31 19:00:36	answer_denom	1	1	CORRECT	JCommTable6_C1R2	UpdateTable	15					Single-KC		KC86		KC1		KC1		KC86		KC86		answer_denom		answer-denom		2-5_plus_1-3-answer_denom		Single		answer_denom			
43	All Data	aa213973ed045cd5da66d702cb58849e	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:43		1	ATTEMPT		RESULT		SimStudent	2-5_plus_1-3	1	1969-12-31 19:00:36	answer_num	1	1	CORRECT	JCommTable6_C1R1	UpdateTable	11					Single-KC		KC51		KC1		KC1		KC51		KC51		answer_num		answer-num		2-5_plus_1-3-answer_num		Single		answer_num			
44	All Data	2169cb77241381ff0d9be9fe0299023b	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:44		1	ATTEMPT		RESULT		SimStudent	2-5_plus_1-3	1	1969-12-31 19:00:36	done	1	1	CORRECT	done	ButtonPressed	-1					Single-KC		KC76		KC1		KC1		KC76		KC76		done		done		2-5_plus_1-3-done		Single		done			
45	All Data	4783f6428aa8177bde1bc2630008e667	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:45		1	ATTEMPT		RESULT		SimStudent	3-10_plus_4-10	1	1969-12-31 19:00:44	lcm_denom2	1	0	INCORRECT	JCommTable5_C1R2	UpdateTable	100					Single-KC		KC154		KC1		KC1		KC154		KC154		lcm_denom2		denom2		3-10_plus_4-10-lcm_denom2		Single		lcm_denom2			
46	All Data	c9a86f52ead3c0f6d4f5ea794dc4b4f3	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:46		1	ATTEMPT		RESULT		SimStudent	3-10_plus_4-10	1	1969-12-31 19:00:44	lcm_denom2	2	1	CORRECT	JCommTable5_C1R2	UpdateTable	10					Single-KC		KC154		KC1		KC1		KC154		KC154		lcm_denom2		denom2		3-10_plus_4-10-lcm_denom2		Single		lcm_denom2			
47	All Data	8a69c2ede297d645818044d541f7d01e	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:47		1	ATTEMPT		RESULT		SimStudent	3-10_plus_4-10	1	1969-12-31 19:00:44	lcm_denom1	1	1	CORRECT	JCommTable4_C1R2	UpdateTable	10					Single-KC		KC104		KC1		KC1		KC104		KC104		lcm_denom1		denom1		3-10_plus_4-10-lcm_denom1		Single		lcm_denom1			
48	All Data	330051c4a0283ab8857b73f93bb64e24	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:48		1	ATTEMPT		RESULT		SimStudent	3-10_plus_4-10	1	1969-12-31 19:00:44	convert_num2	1	1	CORRECT	JCommTable5_C1R1	UpdateTable	4					Single-KC		KC103		KC1		KC1		KC103		KC103		convert_num2		convert-num2		3-10_plus_4-10-convert_num2		Single		convert_num2			
49	All Data	df47c432990d0bcb1363158409433c9c	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:49		1	HINT_REQUEST		HINT_MSG		SimStudent	3-10_plus_4-10	1	1969-12-31 19:00:44	convert_num1	1	0	HINT	hint_button	ButtonPressed	hint request	Enter: JCommTable4_C1R1, UpdateTable, 3				Single-KC		KC105		KC1		KC1		KC105		KC105		convert_num1		converted-num1		3-10_plus_4-10-convert_num1		Single		convert_num1			
50	All Data	58dd66c33c4643c4e691d214b934e1ec	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:50		1	ATTEMPT		RESULT		SimStudent	3-10_plus_4-10	1	1969-12-31 19:00:44	convert_num1	2	1	CORRECT	JCommTable4_C1R1	UpdateTable	3					Single-KC		KC105		KC1		KC1		KC105		KC105		convert_num1		converted-num1		3-10_plus_4-10-convert_num1		Single		convert_num1			
51	All Data	10273ced56caf73c86970064c9c1c0a1	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:51		1	ATTEMPT		RESULT		SimStudent	3-10_plus_4-10	1	1969-12-31 19:00:44	answer_denom	1	1	CORRECT	JCommTable6_C1R2	UpdateTable	10					Single-KC		KC158		KC1		KC1		KC158		KC158		answer_denom		answer-denom		3-10_plus_4-10-answer_denom		Single		answer_denom			
